6367535629	0127093606367535629	3 :37:29	772 
0638561159367535629	0848103044638561159367535629	20:38:13	924 
0476317596367535629	0217857418476317596367535629	0 :51:3 	1195
0365639481367535629	0293908850365639481367535629	4 :56:9 	1749
0129319478367535629	0450361063129319478367535629	5 :43:43	2462
0443078688367535629	0431492068443078688367535629	16:26:38	2539
0061554765367535629	0693745254061554765367535629	0 :58:4 	2967
0266495048367535629	0717272261266495048367535629	21:9 :48	3080
0618792023367535629	0759228973618792023367535629	20:36:17	3256
0615949091367535629	0771159776615949091367535629	23:30:3 	3497
